Course code,Course title,Grade
MDE 162,Law,83
,,SA : 67.14
2022 - 2023. 2,,
CSS 381,Industrial practice 2,70
INF 228,UX/UI design,97
INF 313,Computer networks 1,0
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),82
INF 362,Design for Manufacture,99
INF 363,Advanced VFX and Post Production,67
MDE 153,Module of Social and Political Knowledge (Cultural Studies),95
MDE 154,Module of Social and Political Knowledge (Psychology),97
MDE 172,Philosophy,81
,,SA : 73.83
2023 - 2024. 1,,
CSS 410,Research tools and methods,56
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
INF 360,IT-law,59
INF 426,IT Asset Management,
INF 431,Accounting Information Systems,
MAT 251,Probability and Mathematical Statictics,44
MAT 364,Cryptography,41
,,SA : 0
Total Internal Credits : 111,,Grand Average : 73.94
2020 - 2021. 1,,
CEC 101,General English (A1 level),84
CSS 105,Fundamentals of Programming,70
MAT 151,Linear Algebra,89
MAT 153,Mathematics for Computer Science 1,87
MDE 131,Turkish Language 1 (А1 level),87
MDE 141,Physical Education 1,95
,,SA : 84.05
2020 - 2021. 2,,
CEC 102,General English (A2 level),84
INF 106,Information and Communications Technologies (Computer Science),79
MAT 154,Mathematics for Computer Science 2,70
MAT 156,Discrete Mathematics,58
MDE 132,Turkish Language 2 (А1 level),92
MDE 142,Physical Education 2,95
MDE 171,Modern History of Kazakhstan,90
,,SA : 78.04
2021 - 2022. 1,,
CSS 108,Programming Technologies and Educational Practice,77
CSS 152,Physics 1,59
INF 202,Database Management Systems 1,71
INF 231,Web programming: front end,96
MDE 113,Kazakh Language 1 (B1 level),90
MDE 133,Turkish Language 3 (А2 level),84
MDE 143,Physical Education 3,100
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),80
,,SA : 80.49
2021 - 2022. 2,,
CSS 215,Introduction to Algorithms,76
INF 232,Web programming: back end,100
INF 305,Database Management Systems 2,77
INF 313,Computer networks 1,86
MDE 114,Kazakh Language 2 (B1 level),71
MDE 134,Turkish Language 4 (А2 level),96
MDE 144,Physical Education 4,95
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),85
,,SA : 84.37
2022 - 2023. 1,,
CSS 214,Introduction to iOS Programming,94
CSS 220,Advanced Algorithms,77
CSS 380,Industrial practice 1,70
CSS 417,Linux Administration,70
INF 357,Introduction to Unity programming,83
MAT 251,Probability and Mathematical Statictics,72
MDE 151,Module of Social and Political Knowledge (Political Science),70
MDE 152,Module of Social and Political Knowledge (Sociology),77
MDE 162,Law,92
,,SA : 80.41
2022 - 2023. 2,,
CSS 381,Industrial practice 2,70
INF 228,UX/UI design,98
INF 368,The Go programming language,98
INF 386,Software Testing Foundations,65
INF 405,Personal Development in Computer Science,91
MDE 153,Module of Social and Political Knowledge (Cultural Studies),98
MDE 154,Module of Social and Political Knowledge (Psychology),96
MDE 172,Philosophy,90
,,SA : 88.93
2023 - 2024. 1,,
CSS 410,Research tools and methods,55
CSS 450,Industrial project (Introduction),60
CSS 451,Industrial project (Development),60
CSS 452,Industrial project (Design),60
